printer,ad,server,comment,driver,server,room,faculty
q_socgrad,"CN=NXSARTSAPP-q_socgrad;CN=NXSARTSAPP;OU=Psych has permissions;OU=Arts;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",NXSARTSAPP,"Sociology Grad Lab HP Laserjet 4250 64bit","HP Universal Printing PCL 6 (v5.0)","PAS 2043",Arts
p_soc-copier,"CN=NXSARTSAPP-p_soc-copier;CN=NXSARTSAPP;OU=Psych has permissions;OU=Arts;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",NXSARTSAPP,Sociology,"Xerox GPD PS V2.1","PAS 2048",Arts
q_soc,"CN=NXSARTSAPP-q_soc;CN=NXSARTSAPP;OU=Psych has permissions;OU=Arts;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",NXSARTSAPP,"Sociology HP Laserjet 4100 64bit","HP Universal Printing PCL 6 (v5.0)","PAS 2048",Arts
p_lynnejn,"CN=NXSARTSAPP-p_lynnejn;CN=NXSARTSAPP;OU=Psych has permissions;OU=Arts;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",NXSARTSAPP,lynnejn,"HP Universal Printing PCL 6","PAS 2407",Arts
p_asp,"CN=NXSARTSAPP-p_asp;CN=NXSARTSAPP;OU=Psych has permissions;OU=Arts;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",NXSARTSAPP,"Arts Undergrad ASP Susan Andrews","HP Universal Printing PCL 5","PAS 2444",Arts
p_arts-ugrad,"CN=NXSARTSAPP-p_arts-ugrad;CN=NXSARTSAPP;OU=Psych has permissions;OU=Arts;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",NXSARTSAPP,"Arts Undergrad","Xerox Phaser 6180DN PS","PAS 2446",Arts
p_artsmarket,"CN=NXSARTSAPP-p_artsmarket;CN=NXSARTSAPP;OU=Psych has permissions;OU=Arts;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",NXSARTSAPP,"Arts Undergrad Stephanie","HP Universal Printing PCL 5","PAS 2454",Arts
p_psych_enilsenprt,"CN=NXSARTSAPP-p_psych_enilsenprt;CN=NXSARTSAPP;OU=Psych has permissions;OU=Arts;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",NXSARTSAPP,-,"HP LaserJet 1022","PAS 3028A",Arts
p_psych_moscolabprt,"CN=NXSARTSAPP-p_psych_moscolabprt;CN=NXSARTSAPP;OU=Psych has permissions;OU=Arts;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",NXSARTSAPP,"Psychology 64bit","HP Universal Printing PCL 5","PAS 3031",Arts
ren-lib,"CN=NXSARTSAPP-ren-lib;CN=NXSARTSAPP;OU=Psych has permissions;OU=Arts;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",NXSARTSAPP,"Renison Library","HP Universal Printing PCL 6 (v5.0)","REN 1101",Arts
ren-eas,"CN=NXSARTSAPP-ren-eas;CN=NXSARTSAPP;OU=Psych has permissions;OU=Arts;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",NXSARTSAPP,-,"hp LaserJet 1320 PCL 6","Renison College",Arts
p_arts_SAF_HH383E,"CN=NXSARTSAPP-p_arts_SAF_HH383E;CN=NXSARTSAPP;OU=Psych has permissions;OU=Arts;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",NXSARTSAPP,"Accounting HP Laserjet P4014 64bit","HP Universal Printing PCL 5","unknown unknown",Arts
p_finearts-colour,"CN=NXSARTSAPP-p_finearts-colour;CN=NXSARTSAPP;OU=Psych has permissions;OU=Arts;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",NXSARTSAPP,-,"Xerox Phaser 8560DN PS3","unknown unknown",Arts
