id,employer,date,start_time,end_time,location,website,audience,programs,description
2744,A9.com,"January 29, 2015",5:00 PM,7:00 PM,TC 2218 ,a9.com/,Co-op and Graduating Students,"MATH - Computer Science, ENG - Computer, ENG - Software",
2857,Cloudera,"January 29, 2015",7:30 PM,9:30 PM,Feds Hall- Multipurpose Room A,www.cloudera.com,Co-op and Graduating Students,"MATH - Computer Science, ENG - Computer","Cloudera is revolutionizing enterprise data management by offering the first unified Platform for Big Data, an enterprise data hub built on Apache Hadoop. Cloudera offers enterprises one place to store, process and analyze all their data, empowering them to extend the value of existing investments while enabling fundamental new ways to derive value from their data. Only Cloudera offers everything needed on a journey to an enterprise data hub, including software for business critical data challenges such as storage, access, management, analysis, security and search. As the leading educator of Hadoop professionals, Cloudera has trained over 20,000 individuals worldwide. Over 900 partners and a seasoned professional services team help deliver greater time to value."
2872,Ubisoft Toronto,"January 30, 2015",11:30 AM,1:30 PM,DC 1301,toronto.ubisoft.com,Co-op and Graduating Students,"MATH - Mathematical Physics, MATH - Computer Science, ENG - System Design, ENG - Software, ENG - Computer","Come meet Ubisoft Torontos developers and recruitment team to learn everything you need to know about landing your first position at Ubisoft.We will be talking about what it is like to work as a programmer on hit brands like Assassins Creed, Splinter Cell and Far Cry. Also, presenting information on our co-op opportunities and graduate program."
2862,SMART Technologies,"February 2, 2015",11:30 AM,1:30 PM,TC 2218 ,www.smarttech.com,Co-op Students,"MATH - Computer Science, ENG - Software, ENG - Mechanical, ENG - Electrical, ENG - Computer",
2841,Vena Solutions,"February 2, 2015",7:30 PM,9:30 PM,Bombshelter,www.venasolutions.com/careers,Co-op Students,"MATH - Computer Science, ENG - System Design, ENG - Software, ENG - Electrical, ENG - Computer","At Vena Solutions, our mission is to help smart companies better manage their data, spreadsheets, and files. Our SaaS solution leverages the flexibility and ease of use of Excel while adding web-based automated workflows and a powerful cloud-hosted database to make mission-critical Finance and Accounting processes simple.We are one of the fastest growing companies in a rapidly evolving industry and we strive to create solutions that leverage bleeding edge technologies in response to real business problems. We are passionate about continuous technological evolution, innovation, and teamwork and are constantly on the lookout for leaders who share similar passions and who are looking to make their mark within this growing business space."
2825,BioDiaspora Inc.,"February 3, 2015",11:30 AM,1:30 PM,DC 1301,careers.stackoverflow.com/company/biodiaspora-inc?searchTerm=biodiaspora,Co-op and Graduating Students,"MASTERS - Health Informatics, SCI - Bioinformatics, ALL - MATH faculty, ALL - ENG faculty, ENV - Geomatics","If you would be excited to work in a dynamic startup environment and are passionate about using state of the art technology to help solve an important and complex global problem, BioDiaspora may be the place for youBioDiaspora in New York Times Special Article on Big Data http://goo.gl/36u8lt"
2916,National Instruments,"February 3, 2015",2:30 PM,4:30 PM,DC 1301 ,www.ni.com,Co-op and Graduating Students,"MATH - Computer Science, ENG - Electrical, ENG - Computer",
2786,Wattpad,"February 3, 2015",5:00 PM,7:00 PM,TC 2218 ,www.wattpad.com,Co-op Students,"ALL - MATH faculty, ALL - ENG faculty",This information session is not open to Masters students.
2845,Influitive Corporation,"February 3, 2015",7:30 PM,9:30 PM,TC 2218 ,www.influitive.com,Co-op and Graduating Students,"ALL - MATH faculty, ALL - ENG faculty, ALL - ARTS faculty",
2802,Indeed,"February 4, 2015",5:00 PM,7:00 PM,DC 1301 ,www.indeed.com,Co-op and Graduating Students,"MATH - Computer Science, ENG - Software, ENG - Computer","We Help People Get JobsWe deliver 2+ million unique visitors per engineer, which is on par with industry leaders such as Facebook. We are going to accomplish even more as we continue to build more great products. Come join our team!"
2937,Sofina Foods Inc.,"February 4, 2015",5:00 PM,7:00 PM,Fed Hall - Meeting Room 1,www.sofinafoods.com,Co-op and Graduating Students,"ENG - Nanotechnology, ENG - Mechatronics, ENG - Mechanical, ENG - Management, ENG - Electrical","Sofina Foods is a highly entrepreneurial environment, powered by highly committed and dedicated professionals who are driven by excellence in all that we do.  As one of the nation\'s leading manufacturers of primary and further processed food products, we are always looking to the future. Sofina Foods has a broad portfolio of branded and private label pork, beef, turkey, and chicken products. Sofina\'s family of branded products consists of: Lilydale, Janes, Mastro, San Daniele, Fearmans Pork, Fletcher\'s, Vienna, Quality Meats, San Benedetto, Lavazza and Rio Mare. Sofina Foods currently operates 18 HACCP-approved manufacturing facilities (17 in Canada and one in the northwestern United States), three hatcheries and has over 4,600 employees.Please join us for our Employer Forum session where we will discuss how you can be on your way to be part of a legacy-build the most successful food company in the world!"
2840,RBC Capital Markets Technology,"February 5, 2015",11:30 AM,1:30 PM,DC 1302,,Co-op and Graduating Students,"MATH - Computing & Financial Management, MATH - Computer Science, MATH - Business Administration, ENG - Computer",
2807,Bloomberg LP,"February 5, 2015",5:00 PM,7:00 PM,DC 1301 ,www.bloomberg.com/rd,Co-op Students,"MATH - Computer Science, ENG - System Design, ENG - Software, ENG - Computer, ALL - ENG faculty","Stop by and meet Bloomberg Engineers, former Co-Ops and the Recruiting Team to learn more about technology at Bloomberg and our Software Engineer opportunities for Co-Ops, Summer Interns and Entry Level hires."
2826,MediaMath,"February 5, 2015",7:30 PM,9:30 PM,DC 1301 ,www.mediamath.com,Co-op and Graduating Students,"MATH - Computer Science, ENG - Software, ENG - Computer",
2876,Two Sigma,"February 6, 2015",11:30 AM,1:30 PM,DC 1301 ,www.twosigma.com/,Graduating Students,"SCI - Physics, MATH - Statistics, MATH - Computer Science, MATH - Applied Mathematics, ENG - Computer","We are Two Sigma. We are a technology company that applies a rigorous, scientific method-based approach to investment management.We see ourselves as a destination for the intellectually curious who want to learn, invent, create, and watch what they build make a difference."
2928,Wealthfront,"February 9, 2015",11:30 AM,1:30 PM,DC 1302,,Co-op Students,"ENG - Software, ENG - Computer, MATH - Computer Science",
2911,Cisco Systems Canada,"February 9, 2015",5:00 PM,7:00 PM,DC 1301 ,www.cisco.com/web/about/ac40/univ/index.html,Graduating Students,"MATH - Computer Science, ENG - Software, ENG - Mechatronics, ENG - Electrical, ENG - Computer","Cisco Systems is building teams that will expand our solutions in the mobile, cloud, security, IT, and big data spaces, including software and consulting services. You will be a force for change around the globe, as we deliver the network that powers the Internet.By connecting the unconnected,you will transform the way the world lives, works, plays, and learns. Your game-changing ideas will impact everything from shopping and transportation to education. Join our team of innovative thinkers, supported by a collaborative, fun, and flexible culture with global recognition as a Great Place To Work.We are looking for the kind of people who take smart risks, thrive in diverse environments, inspire their colleagues, and are committed to having an impact on the world. Our business is all about disruption, reinventing the way people do business and connecting with the world around them.To help us bring this vision to life, join us in our exciting journey."
