Exam,Section(s),Day,Date,Start,Finish,Location,
PHIL  215,001,Tuesday,"August 1, 2017",4:00 PM,6:30 PM,"PAC 9,10",
PHIL  240,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
PHIL  251,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
PHIL  256,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
PHIL  271,001,Friday,"August 4, 2017",4:00 PM,6:30 PM,Sched Only,
PHIL  283,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
PHIL  324,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
PHIL  384,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
PHYS  112,001,Tuesday,"August 8, 2017",9:00 AM,11:30 AM,PAC 3,
PHYS  112,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
PHYS  112L,"001,002",Wednesday,"August 9, 2017",9:00 AM,10:00 AM,MC 4045,
PHYS  122,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
PHYS  234,001,Monday,"July 31, 2017",4:00 PM,6:30 PM,STC 1012,
PHYS  239,001,Thursday,"August 10, 2017",4:00 PM,6:30 PM,Sched Only,
PHYS  242,001,Thursday,"August 3, 2017",9:00 AM,11:30 AM,"PAC 9,10,11",
PHYS  263,001,Friday,"July 28, 2017",7:30 PM,10:00 PM,PAC 4,
PHYS  270,001,Tuesday,"August 8, 2017",9:00 AM,11:30 AM,PAC 11,
PHYS  280,001,Wednesday,"August 2, 2017",9:00 AM,11:30 AM,STC 0020,
PHYS  342,001,Tuesday,"August 8, 2017",9:00 AM,11:30 AM,STC 0010,
PHYS  358,001,Monday,"July 31, 2017",9:00 AM,11:30 AM,Sched Only,
PHYS  363,001,Tuesday,"August 1, 2017",7:30 PM,10:00 PM,MC 1085,
PHYS  364,001,Friday,"July 28, 2017",12:30 PM,3:00 PM,Sched Only,
PHYS  380,001,Friday,"August 4, 2017",7:30 PM,10:00 PM,PAC 6,
PLAN  484,001,Tuesday,"August 1, 2017",4:00 PM,6:30 PM,STC 0020,
PLAN  684,001,Tuesday,"August 1, 2017",4:00 PM,6:30 PM,STC 0020,
PMATH  330,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
PMATH  332,001,Wednesday,"August 2, 2017",4:00 PM,6:30 PM,MC 4045,
PMATH  336,001,Friday,"August 4, 2017",7:30 PM,10:00 PM,PAC 7,
PMATH  340,001,Wednesday,"August 9, 2017",12:30 PM,3:00 PM,MC 4021,
PMATH  347,001,Friday,"August 11, 2017",12:30 PM,3:00 PM,MC 4061,
PMATH  351,001,Tuesday,"August 8, 2017",7:30 PM,10:00 PM,PAC 6,
PMATH  352,001,Friday,"July 28, 2017",12:30 PM,3:00 PM,MC 4041,
PMATH  360,001,Thursday,"August 3, 2017",7:30 PM,10:00 PM,PAC 6,
PMATH  450,001,Friday,"August 4, 2017",9:00 AM,11:30 AM,PAC 3,
PMATH  464,001,Thursday,"August 3, 2017",4:00 PM,6:30 PM,MC 4040,
PMATH  650,001,Friday,"August 4, 2017",9:00 AM,11:30 AM,PAC 3,
PSCI  281,001,Tuesday,"August 8, 2017",9:00 AM,11:30 AM,MC 4045,
PSCI  387,001,Thursday,"August 3, 2017",12:30 PM,3:00 PM,PAC 11,
PSYCH  101,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
PSYCH  207,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
PSYCH  211,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
PSYCH  256,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
PSYCH  257,001,Monday,"July 31, 2017",7:30 PM,9:30 PM,Sched Only,
