Exam,Section(s),Day,Date,Start,Finish,Location,,,,,,
CHE 313,001,Tuesday,"December 13, 2016",4:00 PM,6:30 PM,TBA,,,,,,
CHE 331,001,Thursday,"December 8, 2016",12:30 PM,3:00 PM,TBA,,,,,,
CHE 361,001,Thursday,"December 22, 2016",12:30 PM,3:00 PM,TBA,,,,,,
CHE 420,001,Tuesday,"December 13, 2016",9:00 AM,11:30 AM,TBA,,,,,,
CHE 425,001,Thursday,"December 15, 2016",12:30 PM,3:00 PM,"MC 2017,2054",,,,,,
CHE 480,001,Friday,"December 9, 2016",9:00 AM,11:30 AM,TBA,,,,,,
CHE 516,001,Monday,"December 19, 2016",12:30 PM,3:00 PM,TBA,,,,,,
CHE 541,001,Monday,"December 12, 2016",9:00 AM,11:30 AM,TBA,,,,,,
CHE 571,001,Saturday,"December 10, 2016",4:00 PM,6:30 PM,TBA,,,,,,
CHE 622,001,Thursday,"December 15, 2016",12:30 PM,3:00 PM,"MC 2017,2054",,,,,,
CHEM 120,001 to 004,Monday,"December 19, 2016",9:00 AM,11:30 AM,"PAC 1,2,3,4,5,6,7,8,9,10,11, 12
DC 1350,1351, M3 1006
STC 0040,1012",,,,,,
CHEM 120L,001 to 014,Monday,"December 19, 2016",7:30 PM,9:30 PM,"PAC 1,2,3,4,5,6,7,8,9,10,11,12
STC 0010,0020,1012",,,,,,
CHEM 123,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,
CHEM 209,001,Friday,"December 16, 2016",4:00 PM,6:30 PM,"DC 1350,1351",,,,,,
CHEM 220,001,Wednesday,"December 14, 2016",4:00 PM,6:30 PM,"DC 1350,1351",,,,,,
CHEM 237,001,Friday,"December 9, 2016",7:30 PM,10:00 PM,"MC 2034,2035,2038",,,,,,
CHEM 237L,001 to 004,Saturday,"December 17, 2016",9:00 AM,11:00 AM,M3 1006,,,,,,
CHEM 240,001,Thursday,"December 22, 2016",9:00 AM,11:30 AM,PAC 6,,,,,,
CHEM 262,001,Monday,"December 12, 2016",4:00 PM,6:30 PM,MC 4059,,,,,,
CHEM 264,001,Tuesday,"December 20, 2016",9:00 AM,11:30 AM,"DC 1350,1351",,,,,,
CHEM 266,"001,002",Wednesday,"December 14, 2016",12:30 PM,3:00 PM,"PAC 1,2,3,4,5,6,7",,,,,,
CHEM 266,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,
CHEM 302,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,
CHEM 310,001,Thursday,"December 8, 2016",4:00 PM,6:30 PM,PAC 11,,,,,,
CHEM 331,001,Wednesday,"December 14, 2016",9:00 AM,11:30 AM,PAC 6,,,,,,
CHEM 333,001,Wednesday,"December 14, 2016",9:00 AM,11:30 AM,MC 4061,,,,,,
CHEM 356,001,Tuesday,"December 13, 2016",12:30 PM,3:00 PM,TBA,,,,,,
CHEM 363,001,Thursday,"December 15, 2016",7:30 PM,10:00 PM,PAC 3,,,,,,
