Exam,Section(s),Day,Date,Start,End,Location,,,,,,,,,,
BUS 462W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,,,,,
BUS 463W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,,,,,
BUS 466W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,,,,,
BUS 467W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,,,,,
BUS 473W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,,,,,
BUS 477W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,,,,,
BUS 481W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,,,,,
BUS 483W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,,,,,
BUS 486W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,,,,,
BUS 487W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,,,,,
BUS 495QW,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,,,,,
CHE 101,001,Friday,"April 7, 2017",9:00 AM,11:30 AM,MC 1085,,,,,,,,,,
CHE 121,001,Wednesday,"April 19, 2017",12:30 PM,3:00 PM,PAC 3,,,,,,,,,,
CHE 161,001,Monday,"April 17, 2017",9:00 AM,11:30 AM,MC 1085,,,,,,,,,,
CHE 200,001,Thursday,"April 13, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
CHE 220,001,Tuesday,"April 11, 2017",4:00 PM,6:30 PM,TBA,,,,,,,,,,
CHE 230,001,Monday,"April 10, 2017",12:30 PM,3:00 PM,TBA,,,,,,,,,,
CHE 312,001,Wednesday,"April 12, 2017",7:30 PM,10:00 PM,TBA,,,,,,,,,,
CHE 313,001,Monday,"April 17, 2017",4:00 PM,6:30 PM,PAC 8,,,,,,,,,,
CHE 314,001,Monday,"April 10, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
CHE 322,001,Monday,"April 17, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
CHE 330,001,Friday,"April 7, 2017",12:30 PM,3:00 PM,TBA,,,,,,,,,,
CHE 331,001,Wednesday,"April 12, 2017",9:00 AM,11:30 AM,PAC 8,,,,,,,,,,
CHE 361,001,Monday,"April 24, 2017",9:00 AM,11:30 AM,PAC 7,,,,,,,,,,
CHE 425,001,Friday,"April 7, 2017",9:00 AM,11:30 AM,DC 1350,,,,,,,,,,
CHE 522,001,Thursday,"April 13, 2017",12:30 PM,3:00 PM,TBA,,,,,,,,,,
CHE 543,001,Monday,"April 17, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
