Exam,Section,Day,Date,Start,End,Location
ECON 202,004,Thursday,"August 11, 2011",4:00 PM,6:30 PM,PAC 4
ECON 211,001,Wednesday,"August 3, 2011",9:00 AM,11:30 AM,PAC 4
ECON 221,001,Friday,"August 12, 2011",4:00 PM,6:30 PM,PAC 4
ECON 221,002,Friday,"August 12, 2011",4:00 PM,6:30 PM,PAC 5
ECON 231,"001,002",Friday,"August 5, 2011",7:30 PM,10:00 PM,"PAC 1,2,3"
ECON 301,001,Tuesday,"August 9, 2011",4:00 PM,6:30 PM,PAC 1
ECON 301,002,Tuesday,"August 9, 2011",4:00 PM,6:30 PM,PAC 4
ECON 311,001,Thursday,"August 11, 2011",7:30 PM,10:00 PM,PAC 4
ECON 321,001,Thursday,"August 4, 2011",7:30 PM,9:00 PM,PAC 8
ECON 357,001,Thursday,"August 4, 2011",9:00 AM,11:30 AM,MC 1085
ECON 363,001,Friday,"August 12, 2011",4:00 PM,6:00 PM,"PAC 9,10"
ECON 365,001,Saturday,"August 13, 2011",12:30 PM,2:00 PM,"PAC 9,10"
ECON 371,001,Monday,"August 8, 2011",12:30 PM,3:00 PM,PAC 4
ECON 372,001,Monday,"August 8, 2011",7:30 PM,10:00 PM,PAC 4
ECON 381,001,Saturday,"August 13, 2011",7:30 PM,9:30 PM,PAC 8
ECON 402,001,Tuesday,"August 2, 2011",12:30 PM,3:00 PM,PAC 4
ECON 442,001,Wednesday,"August 10, 2011",4:00 PM,6:30 PM,PAC 3
ENGL 101A,001,Tuesday,"August 2, 2011",4:00 PM,6:30 PM,PAC 10
ENGL 104,001,Saturday,"August 13, 2011",12:30 PM,3:00 PM,PAC 4
ENGL 200B,001,Thursday,"August 11, 2011",7:30 PM,10:00 PM,PAC 2
ENGL 201,001,Tuesday,"August 2, 2011",12:30 PM,3:00 PM,MC 2017
ENGL 251B,001,Friday,"August 5, 2011",9:00 AM,11:30 AM,PAC 5
ENGL 306A,001,Friday,"August 5, 2011",7:30 PM,10:00 PM,PAC 5
ENGL 309C,001,Thursday,"August 11, 2011",12:30 PM,3:00 PM,PAC 2
ENGL 310C,001,Monday,"August 8, 2011",12:30 PM,3:00 PM,PAC 11
ENGL 346,001,Tuesday,"August 9, 2011",9:00 AM,11:30 AM,PAC 6
ENVE 127,001,Tuesday,"August 2, 2011",12:30 PM,3:00 PM,PAC 3
ENVE 320,001,Wednesday,"August 10, 2011",4:00 PM,6:30 PM,DWE 3522
ENVE 321,001,Thursday,"August 4, 2011",9:00 AM,11:30 AM,CPH 3607
ENVE 330,001,Monday,"August 8, 2011",7:30 PM,10:00 PM,DWE 2527
ENVS 200,001,Tuesday,"August 2, 2011",12:30 PM,3:00 PM,"PAC 5,6"
FR 151,001,Thursday,"August 11, 2011",12:30 PM,2:30 PM,AL 208
FR 192A,001,Wednesday,"August 3, 2011",4:00 PM,6:00 PM,AL 124
FR 192B,001,Saturday,"August 13, 2011",9:00 AM,11:00 AM,ML 354
FR 353,001,Exam removed from the schedule.  Contact instructor for further information.,,,,
GENE 121,001,Saturday,"August 6, 2011",12:30 PM,3:00 PM,"PAC 11,12"
GENE 123,"001,002",Thursday,"August 4, 2011",12:30 PM,3:00 PM,"PAC 1,2,3"
GEOG 281,001,Thursday,"August 4, 2011",7:30 PM,10:00 PM,PAC 4
GERON 210,001,Friday,"August 12, 2011",4:00 PM,6:30 PM,"PAC 11,12"
HIST 264,001,Thursday,"August 11, 2011",12:30 PM,3:00 PM,AL 211
HLTH 210,001,Friday,"August 12, 2011",4:00 PM,6:30 PM,"PAC 11,12"
HRM 200,001,Wednesday,"August 3, 2011",7:30 PM,10:00 PM,"PAC 1,2,3,4"
INTEG 275,001,Monday,"August 8, 2011",9:00 AM,11:30 AM,EV1 350
ISS 220R,001,Monday,"August 8, 2011",9:00 AM,11:30 AM,STJ 3027
KIN 205,001,Thursday,"August 4, 2011",12:30 PM,3:00 PM,PAC 4
KIN 210,001,Friday,"August 12, 2011",4:00 PM,6:30 PM,"PAC 11,12"
KIN 222,001,Tuesday,"August 2, 2011",12:30 PM,3:00 PM,"PAC 1,2"
MATH 115,001,Tuesday,"August 2, 2011",12:30 PM,3:00 PM,MC 2054
MATH 118,001 to 004,Wednesday,"August 10, 2011",9:00 AM,11:30 AM,"PAC 1,2,3,4"
MATH 119,"001,002",Wednesday,"August 10, 2011",9:00 AM,11:30 AM,"PAC 5,6,7"
MATH 127,001,Saturday,"August 13, 2011",12:30 PM,3:00 PM,PAC 3
MATH 128,001,Wednesday,"August 10, 2011",4:00 PM,6:30 PM,PAC 5
MATH 135,001,Thursday,"August 4, 2011",9:00 AM,11:30 AM,DC 1350
MATH 136,"001,002",Thursday,"August 4, 2011",9:00 AM,11:30 AM,"PAC 6,7,8"
MATH 137,001,Wednesday,"August 10, 2011",9:00 AM,11:30 AM,MC 4041
MATH 138,"001,002",Wednesday,"August 10, 2011",4:00 PM,6:30 PM,"PAC 7,8"
MATH 207,001,Saturday,"August 13, 2011",9:00 AM,11:30 AM,PAC 3
MATH 212,001,Tuesday,"August 9, 2011",12:30 PM,3:00 PM,PAC 1
MATH 213,001,Thursday,"August 11, 2011",9:00 AM,11:30 AM,PAC 1
