Exam,Section(s),Day,Date,Start,Finish,Location
JAPAN 101R,"001,002",Thursday,"December 21, 2017",4:00 PM,6:00 PM,Sched Only
JAPAN 101R,"003,004",Thursday,"December 21, 2017",4:00 PM,6:00 PM,Sched Only
JAPAN 102R,001,Saturday,"December 9, 2017",7:30 PM,9:30 PM,Sched Only
JAPAN 201R,"001,002",Saturday,"December 16, 2017",12:30 PM,3:00 PM,Sched Only
JAPAN 202R,001,Tuesday,"December 12, 2017",9:00 AM,11:30 AM,Sched Only
JAPAN 301R,001,Friday,"December 15, 2017",9:00 AM,11:30 AM,Sched Only
JS 131,001,Wednesday,"December 20, 2017",12:30 PM,3:00 PM,Sched Only
KIN 104,001,Monday,"December 18, 2017",12:30 PM,3:00 PM,TBA
KIN 104L,001 to 014,Tuesday,"December 19, 2017",9:00 AM,10:00 AM,Sched Only
KIN 105,001,Wednesday,"December 20, 2017",4:00 PM,6:30 PM,TBA
KIN 217,001,Thursday,"December 14, 2017",12:30 PM,3:00 PM,TBA
KIN 301,001,Tuesday,"December 12, 2017",12:30 PM,3:00 PM,TBA
KIN 354,001,Monday,"December 18, 2017",7:30 PM,10:00 PM,TBA
KIN 405,001,Monday,"December 18, 2017",9:00 AM,11:30 AM,TBA
KIN 407,001,Monday,"December 11, 2017",9:00 AM,11:30 AM,TBA
KIN 422,001,Thursday,"December 7, 2017",12:30 PM,3:00 PM,TBA
KIN 428,001,Friday,"December 15, 2017",9:00 AM,11:30 AM,TBA
LAT 101,"001,002",Monday,"December 18, 2017",7:30 PM,9:30 PM,TBA
LAT 201,001,Monday,"December 11, 2017",9:00 AM,11:00 AM,TBA
LS 101,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
LS 201,001,Monday,"December 11, 2017",4:00 PM,6:30 PM,Sched Only
LS 271,001,Monday,"December 18, 2017",7:30 PM,10:00 PM,Sched Only
LS 271,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
LS 273,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
LS 283,001,Friday,"December 15, 2017",7:30 PM,9:30 PM,TBA
LS 291,001,Monday,"December 11, 2017",9:00 AM,11:30 AM,Sched Only
LS 292,001,Friday,"December 8, 2017",9:00 AM,11:30 AM,Sched Only
LS 300,001,Wednesday,"December 13, 2017",12:30 PM,3:00 PM,Sched Only
LS 306,001,Thursday,"December 7, 2017",9:00 AM,11:00 AM,Sched Only
LS 366,001,Thursday,"December 7, 2017",12:30 PM,3:00 PM,TBA
MATBUS 470,001,Tuesday,"December 12, 2017",9:00 AM,11:30 AM,TBA
MATBUS 471,001,Tuesday,"December 19, 2017",12:30 PM,3:00 PM,TBA
MATH 103,001,Wednesday,"December 13, 2017",9:00 AM,11:30 AM,Sched Only
MATH 103,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
MATH 104,001,Monday,"December 11, 2017",12:30 PM,3:00 PM,TBA
MATH 106,001,Monday,"December 18, 2017",4:00 PM,6:30 PM,TBA
MATH 109,001 to 003,Monday,"December 18, 2017",7:30 PM,10:00 PM,TBA
MATH 114,"001,002",Saturday,"December 16, 2017",4:00 PM,6:30 PM,TBA
MATH 115,001 to 010,Friday,"December 15, 2017",9:00 AM,11:30 AM,TBA
MATH 116,001 to 008,Thursday,"December 7, 2017",4:00 PM,6:30 PM,TBA
MATH 117,001 to 005,Thursday,"December 7, 2017",12:30 PM,3:00 PM,TBA
MATH 124,"001,002",Tuesday,"December 12, 2017",7:30 PM,10:00 PM,TBA
MATH 127,001 to 010,Wednesday,"December 13, 2017",12:30 PM,3:00 PM,TBA
MATH 127,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
MATH 128,001,Friday,"December 15, 2017",9:00 AM,11:30 AM,TBA
MATH 128,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
MATH 135,001 to 031,Friday,"December 8, 2017",9:00 AM,11:30 AM,TBA
MATH 136,001 to 003,Monday,"December 18, 2017",9:00 AM,11:30 AM,TBA
MATH 136,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
MATH 137,"001 to 009,011",Wednesday,"December 13, 2017",9:00 AM,11:30 AM,TBA
MATH 137,010,Wednesday,"December 13, 2017",9:00 AM,11:30 AM,TBA
MATH 137,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
MATH 138,001 to 003,Friday,"December 15, 2017",12:30 PM,3:00 PM,TBA
MATH 145,"001,002",Friday,"December 8, 2017",9:00 AM,11:30 AM,TBA
MATH 147,"001,002",Wednesday,"December 13, 2017",4:00 PM,6:30 PM,TBA
MATH 207,001,Monday,"December 11, 2017",9:00 AM,11:30 AM,TBA
MATH 215,001,Tuesday,"December 19, 2017",12:30 PM,3:00 PM,TBA
MATH 217,001,Wednesday,"December 13, 2017",12:30 PM,3:00 PM,TBA
MATH 218,001,Wednesday,"December 13, 2017",7:30 PM,10:00 PM,TBA
MATH 225,001,Monday,"December 18, 2017",4:00 PM,6:30 PM,TBA
MATH 227,001,Friday,"December 15, 2017",4:00 PM,6:30 PM,Sched Only
MATH 228,001,Tuesday,"December 12, 2017",4:00 PM,6:30 PM,TBA
MATH 229,001,Wednesday,"December 20, 2017",9:00 AM,11:30 AM,TBA
MATH 235,001 to 005,Friday,"December 8, 2017",12:30 PM,3:00 PM,TBA
MATH 237,001 to 005,Saturday,"December 16, 2017",9:00 AM,11:30 AM,TBA
MATH 239,001 to 004,Tuesday,"December 19, 2017",4:00 PM,6:30 PM,TBA
MATH 245,001,Thursday,"December 21, 2017",4:00 PM,6:30 PM,TBA
MATH 247,001,Monday,"December 18, 2017",9:00 AM,11:30 AM,TBA
MATH 249,001,Friday,"December 8, 2017",7:30 PM,10:00 PM,TBA
ME 201,001,Thursday,"December 7, 2017",4:00 PM,6:30 PM,TBA
ME 202,001,Tuesday,"December 19, 2017",4:00 PM,6:30 PM,TBA
ME 203,001,Monday,"December 11, 2017",12:30 PM,3:00 PM,TBA
ME 212,001,Thursday,"December 7, 2017",12:30 PM,3:00 PM,TBA
ME 219,001,Monday,"December 11, 2017",4:00 PM,6:30 PM,TBA
ME 220,001,Tuesday,"December 19, 2017",12:30 PM,3:00 PM,TBA
ME 230,001,Friday,"December 15, 2017",4:00 PM,6:30 PM,TBA
