Exam,Section,Day,Date,Start,Finish,Location,,,,,,,,,,
CIVE 512,001,Tuesday,"August 9, 2016",7:30 PM,10:00 PM,RCH 307,,,,,,,,,,
CIVE 572,001,Thursday,"August 4, 2016",7:30 PM,10:00 PM,DWE 1502,,,,,,,,,,
CLAS 104,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
CLAS 221,001,Tuesday,"August 2, 2016",9:00 AM,11:30 AM,PAS 1229,,,,,,,,,,
CO 250,001 to 003,Tuesday,"August 9, 2016",9:00 AM,11:30 AM,"PAC 4,5,11",,,,,,,,,,
CO 327,001,Monday,"August 8, 2016",9:00 AM,11:30 AM,MC 4041,,,,,,,,,,
CO 342,001,Friday,"August 12, 2016",9:00 AM,11:30 AM,PAC 1,,,,,,,,,,
CO 351,001,Monday,"August 8, 2016",9:00 AM,11:30 AM,MC 4059,,,,,,,,,,
CO 454,001,Saturday,"August 6, 2016",12:30 PM,3:00 PM,PAC 6,,,,,,,,,,
COMM 321,001,Friday,"August 12, 2016",9:00 AM,11:30 AM,PAC 2,,,,,,,,,,
CS 100,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
CS 115,"001,002",Wednesday,"August 10, 2016",7:30 PM,10:00 PM,"PAC 1,2",,,,,,,,,,
CS 116,001 to 003,Monday,"August 8, 2016",4:00 PM,6:30 PM,"PAC 4,5,6",,,,,,,,,,
CS 136,001 to 003,Monday,"August 8, 2016",4:00 PM,6:30 PM,"PAC 1,2,3",,,,,,,,,,
CS 200,001,Thursday,"August 4, 2016",4:00 PM,6:30 PM,PAC 3,,,,,,,,,,
CS 230,001,Thursday,"August 11, 2016",7:30 PM,10:00 PM,PAC 2,,,,,,,,,,
CS 234,"001,002",Wednesday,"August 10, 2016",7:30 PM,10:00 PM,"PAC 4,5",,,,,,,,,,
CS 240,001 to 004,Friday,"August 5, 2016",12:30 PM,3:00 PM,"PAC 4,5,6,7",,,,,,,,,,
CS 241,001 to 004,Wednesday,"August 10, 2016",9:00 AM,11:30 AM,"PAC 4,5,6",,,,,,,,,,
CS 245,001 to 004,Thursday,"August 11, 2016",9:00 AM,11:30 AM,"PAC 1,2,3",,,,,,,,,,
CS 246,001 to 004,Friday,"August 5, 2016",9:00 AM,11:30 AM,"PAC 1,2,3",,,,,,,,,,
CS 247,001,Monday,"August 8, 2016",12:30 PM,3:00 PM,"PAC 11,12",,,,,,,,,,
CS 251,001 to 004,Monday,"August 8, 2016",9:00 AM,11:30 AM,"PAC 4,5,6",,,,,,,,,,
CS 330,"001,002",Monday,"August 8, 2016",12:30 PM,3:00 PM,"PAC 4,5",,,,,,,,,,
CS 338,"001,002",Wednesday,"August 10, 2016",9:00 AM,11:30 AM,M3 1006,,,,,,,,,,
CS 341,001 to 003,Wednesday,"August 3, 2016",9:00 AM,11:30 AM,"PAC 1,2",,,,,,,,,,
CS 348,"001,002",Monday,"August 8, 2016",4:00 PM,6:30 PM,"PAC 7,8",,,,,,,,,,
CS 349,001 to 003,Thursday,"August 11, 2016",7:30 PM,10:00 PM,"PAC 4,5",,,,,,,,,,
CS 350,001 to 003,Thursday,"August 11, 2016",9:00 AM,11:30 AM,"PAC 4,5",,,,,,,,,,
CS 360,001,Tuesday,"August 2, 2016",4:00 PM,6:30 PM,PAC 11,,,,,,,,,,
CS 370,"001,002",Wednesday,"August 10, 2016",4:00 PM,6:30 PM,"PAC 1,2",,,,,,,,,,
CS 371,001,Wednesday,"August 3, 2016",7:30 PM,10:00 PM,PAC 3,,,,,,,,,,
CS 432,001,Friday,"August 12, 2016",4:00 PM,6:30 PM,DC 1350,,,,,,,,,,
CS 446,"001,002",Wednesday,"August 10, 2016",12:30 PM,3:00 PM,PAC 7,,,,,,,,,,
CS 449,001,Thursday,"August 11, 2016",4:00 PM,6:30 PM,PAC 3,,,,,,,,,,
CS 452,001,Tuesday,"August 2, 2016",12:30 PM,3:00 PM,PAC 11,,,,,,,,,,
CS 454,"001,002",Friday,"August 5, 2016",9:00 AM,11:30 AM,"PAC 11,12",,,,,,,,,,
CS 456,"001,002",Friday,"August 12, 2016",12:30 PM,3:00 PM,"PAC 5,6",,,,,,,,,,
CS 458,"001,002",Tuesday,"August 9, 2016",9:00 AM,11:30 AM,"PAC 6,12",,,,,,,,,,
CS 466,001,Tuesday,"August 2, 2016",12:30 PM,3:00 PM,"PAC 9,10",,,,,,,,,,
CS 475,001,Wednesday,"August 3, 2016",12:30 PM,3:00 PM,PAC 6,,,,,,,,,,
CS 486,"001,002",Wednesday,"August 10, 2016",7:30 PM,10:00 PM,"PAC 7,8",,,,,,,,,,
CS 488,001,Tuesday,"August 9, 2016",4:00 PM,6:30 PM,PAC 8,,,,,,,,,,
CS 490,001,Thursday,"August 4, 2016",12:30 PM,3:00 PM,PAC 9,,,,,,,,,,
CS 646,"001,002",Wednesday,"August 10, 2016",12:30 PM,3:00 PM,PAC 7,,,,,,,,,,
CS 649,001,Thursday,"August 11, 2016",4:00 PM,6:30 PM,PAC 3,,,,,,,,,,
CS 652,001,Tuesday,"August 2, 2016",12:30 PM,3:00 PM,PAC 11,,,,,,,,,,
CS 654,001,Friday,"August 5, 2016",9:00 AM,11:30 AM,"PAC 11,12",,,,,,,,,,
CS 656,"001,002",Friday,"August 12, 2016",12:30 PM,3:00 PM,"PAC 5,6",,,,,,,,,,
CS 658,002,Tuesday,"August 9, 2016",9:00 AM,11:30 AM,"PAC 6,12",,,,,,,,,,
CS 666,001,Tuesday,"August 2, 2016",12:30 PM,3:00 PM,"PAC 9,10",,,,,,,,,,
CS 675,001,Wednesday,"August 3, 2016",12:30 PM,3:00 PM,PAC 6,,,,,,,,,,
CS 686,"001,002",Wednesday,"August 10, 2016",7:30 PM,10:00 PM,"PAC 7,8",,,,,,,,,,
CS 688,001,Tuesday,"August 9, 2016",4:00 PM,6:30 PM,PAC 8,,,,,,,,,,
DUTCH 101,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
DUTCH 102,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
EARTH 121,001,Wednesday,"August 3, 2016",7:30 PM,10:00 PM,"PAC 1,2",,,,,,,,,,
EARTH 221,001,Thursday,"August 4, 2016",7:30 PM,10:00 PM,PAC 1,,,,,,,,,,
EARTH 232,001,Thursday,"August 11, 2016",7:30 PM,10:00 PM,PAC 3,,,,,,,,,,
ECE 103,"001,002",Friday,"August 12, 2016",12:30 PM,3:00 PM,"PAC 1,4",,,,,,,,,,
ECE 106,"001,002",Thursday,"August 4, 2016",12:30 PM,3:00 PM,"PAC 4,5,6",,,,,,,,,,
ECE 124,"001,002",Saturday,"August 6, 2016",12:30 PM,3:00 PM,"PAC 1,2,3",,,,,,,,,,
ECE 155,"001,002",Tuesday,"August 9, 2016",9:00 AM,11:30 AM,"PAC 1,2,9",,,,,,,,,,
ECE 206,001,Wednesday,"August 10, 2016",9:00 AM,11:30 AM,PAC 7,,,,,,,,,,
ECE 207,001,Tuesday,"August 2, 2016",9:00 AM,11:30 AM,DC 1351,,,,,,,,,,
ECE 209,001,Thursday,"August 11, 2016",12:30 PM,3:00 PM,PAC 3,,,,,,,,,,
ECE 224,001,Wednesday,"August 10, 2016",4:00 PM,6:30 PM,PAC 3,,,,,,,,,,
ECE 242,001,Thursday,"August 4, 2016",4:00 PM,6:30 PM,"PAC 7,8",,,,,,,,,,
ECE 254,001,Monday,"August 8, 2016",9:00 AM,11:30 AM,PAC 2,,,,,,,,,,
ECE 309,001,Friday,"August 12, 2016",12:30 PM,3:00 PM,"DWE 2402,3522,3522A",,,,,,,,,,
ECE 316,"001,002",Tuesday,"August 2, 2016",7:30 PM,10:00 PM,"PAC 1,2",,,,,,,,,,
ECE 327,001,Friday,"August 5, 2016",12:30 PM,3:00 PM,"PAC 11,12",,,,,,,,,,
ECE 331,001,Wednesday,"August 10, 2016",7:30 PM,10:00 PM,PAC 6,,,,,,,,,,
ECE 351,001,Tuesday,"August 9, 2016",12:30 PM,3:00 PM,DC 1350,,,,,,,,,,
ECE 358,001,Monday,"August 8, 2016",12:30 PM,3:00 PM,PAC 7,,,,,,,,,,
ECE 375,001,Monday,"August 8, 2016",9:00 AM,11:30 AM,MC 4061,,,,,,,,,,
ECE 380,"001,002",Thursday,"August 11, 2016",4:00 PM,6:30 PM,"PAC 1,2",,,,,,,,,,
ECE 403,001,Monday,"August 8, 2016",7:30 PM,10:00 PM,PAC 4,,,,,,,,,,
ECE 413,001,Friday,"August 12, 2016",4:00 PM,6:30 PM,MC 4045,,,,,,,,,,
ECE 414,001,Tuesday,"August 2, 2016",9:00 AM,11:30 AM,MC 4064,,,,,,,,,,
ECE 429,001,Friday,"August 12, 2016",9:00 AM,11:30 AM,PAC 8,,,,,,,,,,
ECE 432,001,Tuesday,"August 9, 2016",9:00 AM,11:30 AM,PAC 10,,,,,,,,,,
ECE 445,001,Wednesday,"August 10, 2016",9:00 AM,11:30 AM,PAC 8,,,,,,,,,,
ECE 452,"001,002",Wednesday,"August 10, 2016",12:30 PM,3:00 PM,PAC 7,,,,,,,,,,
ECE 454,001,Saturday,"August 13, 2016",9:00 AM,11:30 AM,"PAC 11,12",,,,,,,,,,
ECE 455,001,Tuesday,"August 2, 2016",9:00 AM,11:30 AM,PAC 10,,,,,,,,,,
ECE 457A,001,Tuesday,"August 2, 2016",4:00 PM,6:30 PM,M3 1006,,,,,,,,,,
ECE 458,001,Thursday,"August 4, 2016",12:30 PM,3:00 PM,DC 1350,,,,,,,,,,
ECE 462,001,Saturday,"August 13, 2016",9:00 AM,11:30 AM,PAC 3,,,,,,,,,,
ECE 463,001,Tuesday,"August 2, 2016",9:00 AM,11:30 AM,PAC 11,,,,,,,,,,
ECE 473,001,Friday,"August 5, 2016",9:00 AM,11:30 AM,MC 4059,,,,,,,,,,
