Exam,Section(s),Day,Date,Start,End,Location
MSCI 346,001,Tuesday,"July 31, 2012",4:00 PM,6:30 PM,See Prof
MSCI 434,001,Thursday,"August 2, 2012",12:30 PM,3:00 PM,PAC 3
MSCI 445,001,Tuesday,"August 7, 2012",9:00 AM,11:30 AM,See Prof
MSCI 452,001,Thursday,"August 9, 2012",7:30 PM,10:00 PM,PAC 6
MSCI 531,001,Monday,"July 30, 2012",12:30 PM,3:00 PM,RCH 306
MTE 111,001,Wednesday,"August 1, 2012",12:30 PM,3:00 PM,"PAC 11,12"
MTE 119,001,Thursday,"August 9, 2012",12:30 PM,3:00 PM,"PAC 11,12"
MTE 120,001,Monday,"July 30, 2012",9:00 AM,11:30 AM,"PAC 11,12"
MTE 140,001,Friday,"August 3, 2012",9:00 AM,11:30 AM,"PAC 11,12"
MTE 320,001,Monday,"July 30, 2012",12:30 PM,3:00 PM,See Prof
MUSIC 100,001,Wednesday,"August 8, 2012",12:30 PM,3:00 PM,See Prof
MUSIC 140,001,Thursday,"August 2, 2012",7:30 PM,10:00 PM,See Prof
NE 217,001,Tuesday,"July 31, 2012",9:00 AM,11:30 AM,"PAC 11,12"
NE 226,001,Thursday,"August 2, 2012",12:30 PM,3:00 PM,"PAC 11,12"
NE 232,001,Tuesday,"August 7, 2012",9:00 AM,11:30 AM,"PAC 11,12"
NE 242,001,Thursday,"August 9, 2012",9:00 AM,11:30 AM,"PAC 11,12"
NE 318,001,Monday,"July 30, 2012",12:30 PM,3:00 PM,PAC 4
NE 333,001,Tuesday,"August 7, 2012",9:00 AM,11:30 AM,PAC 7
NE 334,001,Tuesday,"August 7, 2012",7:30 PM,10:00 PM,PAC 5
NE 343,001,Tuesday,"July 31, 2012",12:30 PM,3:00 PM,PAC 5
NE 344,001,Thursday,"August 9, 2012",9:00 AM,11:30 AM,PAC 5
PHIL 110A,002,Thursday,"August 2, 2012",4:00 PM,6:30 PM,See Prof
PHIL 145,001,Thursday,"August 2, 2012",7:30 PM,10:00 PM,See Prof
PHIL 145,002,Monday,"July 30, 2012",12:30 PM,3:00 PM,See Prof
PHIL 215,003,Wednesday,"August 1, 2012",4:00 PM,6:30 PM,See Prof
PHYS 112,001,Monday,"July 30, 2012",12:30 PM,3:00 PM,PAC 2
PHYS 112L,"001,002",Exam removed from the schedule.  Contact instructor for further information.,,,,
PHYS 122,001,Tuesday,"August 7, 2012",9:00 AM,11:30 AM,RCH 204
PHYS 125,001,Monday,"July 30, 2012",12:30 PM,3:00 PM,"PAC 11,12"
PHYS 256,001,Monday,"July 30, 2012",12:30 PM,3:00 PM,"PAC 9,10"
PHYS 258,001,Friday,"August 10, 2012",4:00 PM,6:30 PM,PAC 6
PHYS 263,001,Wednesday,"August 8, 2012",9:00 AM,11:30 AM,PAC 11
PHYS 275,001,Saturday,"August 4, 2012",9:00 AM,11:30 AM,RCH 301
PHYS 334,001,Wednesday,"August 1, 2012",9:00 AM,11:30 AM,PAC 5
PHYS 363,001,Tuesday,"July 31, 2012",12:30 PM,3:00 PM,See Prof
PHYS 364,001,Wednesday,"August 8, 2012",7:30 PM,10:00 PM,See Prof
PLAN 281,001,Wednesday,"August 1, 2012",12:30 PM,3:00 PM,"PAC 7,8"
PLAN 484,001,Monday,"July 30, 2012",9:00 AM,11:30 AM,See Prof
PLAN 684,001,Monday,"July 30, 2012",9:00 AM,11:30 AM,See Prof
PMATH 330,001,Thursday,"August 9, 2012",9:00 AM,11:30 AM,PAC 6
PMATH 332,001,Wednesday,"August 8, 2012",4:00 PM,6:30 PM,PAC 7
PMATH 334,001,Tuesday,"July 31, 2012",12:30 PM,3:00 PM,RCH 306
PMATH 336,001,Friday,"August 3, 2012",7:30 PM,10:00 PM,PAC 2
PMATH 345,001,Saturday,"August 4, 2012",9:00 AM,11:30 AM,RCH 306
PMATH 351,001,Tuesday,"August 7, 2012",4:00 PM,6:30 PM,RCH 211
PMATH 352,001,Wednesday,"August 8, 2012",12:30 PM,3:00 PM,PAC 6
PMATH 360,001,Tuesday,"August 7, 2012",9:00 AM,11:30 AM,"PAC 9,10"
PSCI 260,001,Monday,"July 30, 2012",9:00 AM,11:30 AM,MC 4020
PSCI 292,001,Friday,"August 10, 2012",7:30 PM,9:30 PM,"PAC 7,8"
PSCI 350,001,Tuesday,"August 7, 2012",9:00 AM,11:30 AM,RCH 112
PSYCH 339,001,Monday,"July 30, 2012",7:30 PM,9:30 PM,"PAC 7,8"
PSYCH 363,001,Tuesday,"July 31, 2012",12:30 PM,2:30 PM,RCH 301
SCI 238,001,Thursday,"August 9, 2012",7:30 PM,10:00 PM,"PAC 4,5"
SE 464,001,Monday,"July 30, 2012",4:00 PM,6:30 PM,"PAC 4,5"
SOC 246,001,Wednesday,"August 8, 2012",4:00 PM,6:30 PM,See Prof
STAT 230,001,Tuesday,"August 7, 2012",9:00 AM,11:30 AM,"PAC 1,2,3,4"
STAT 231,"001,002",Monday,"July 30, 2012",9:00 AM,11:30 AM,"PAC 1,2,3,4,5,6"
STAT 330,"001,002",Friday,"August 10, 2012",12:30 PM,3:00 PM,"PAC 4,5"
