Exam,Section(s),Day,Day/Date,Start,Finish,Location,,,,,,,,,,,
BUS 461W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,,,,,,
BUS 463W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,,,,,,
BUS 464W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,,,,,,
BUS 466W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,,,,,,
BUS 467W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,,,,,,
BUS 469W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,,,,,,
BUS 473W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,,,,,,
BUS 477W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,,,,,,
BUS 481W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,,,,,,
BUS 486W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,,,,,,
BUS 487W,,See https://students.wlu.ca/academics/exams/exam-schedules/index.html,,,,,,,,,,,,,,,
CDNST 211,001,Wednesday,"April 10, 2019",9:00 AM,11:30 AM,STP 256,,,,,,,,,,,
CHE 101,001,Tuesday,"April 16, 2019",12:30 PM,3:00 PM,STC 0040,,,,,,,,,,,
CHE 121,001,Friday,"April 12, 2019",9:00 AM,11:30 AM,E2 1792,,,,,,,,,,,
CHE 161,001,Thursday,"April 25, 2019",9:00 AM,11:30 AM,STC 0010,,,,,,,,,,,
CHE 200,001,Friday,"April 12, 2019",9:00 AM,11:30 AM,"E6 2022, 2024",,,,,,,,,,,
CHE 220,001,Monday,"April 22, 2019",9:00 AM,11:30 AM,"E6 2022, 2024",,,,,,,,,,,
CHE 230,001,Thursday,"April 18, 2019",12:30 PM,3:00 PM,RCH 110,,,,,,,,,,,
CHE 312,001,Thursday,"April 18, 2019",4:00 PM,6:30 PM,"E6 2024, 4022",,,,,,,,,,,
CHE 313,001,Monday,"April 22, 2019",12:30 PM,3:00 PM,"E6 2024, 4022",,,,,,,,,,,
CHE 314,001,Monday,"April 15, 2019",9:00 AM,11:30 AM,"E6 2024, 4022",,,,,,,,,,,
CHE 322,001,Monday,"April 22, 2019",12:30 PM,3:00 PM,CPH 1346,,,,,,,,,,,
CHE 330,001,Wednesday,"April 10, 2019",9:00 AM,11:30 AM,"E6 2024, 4022",,,,,,,,,,,
