AP Name,Aruba AP Model,IP Address,MAC Address,Secondary MAC Address,SSID,Latitude,Longitude,Floor,Building Code
ENG-AP-E2-1374-B,105,172.18.10.116,D8C7C8C97017,D8C7C8170178,eduroam,43.4709995286,-80.5400939443,1,E2
ENG-AP-E2-1374-B,105,172.18.10.116,D8C7C8C97017,D8C7C8170170,eduroam,43.4709995286,-80.5400939443,1,E2
ENG-AP-E2-1374-B,105,172.18.10.116,D8C7C8C97017,D8C7C8170179,uw-unsecured,43.4709995286,-80.5400939443,1,E2
ENG-AP-E2-1374-B,105,172.18.10.116,D8C7C8C97017,D8C7C8170171,uw-unsecured,43.4709995286,-80.5400939443,1,E2
ENG-AP-E2-1374-C,105,172.18.10.117,D8C7C8C97018,D8C7C8170188,eduroam,43.4708839840,-80.5404147593,1,E2
ENG-AP-E2-1374-C,105,172.18.10.117,D8C7C8C97018,D8C7C8170180,eduroam,43.4708839840,-80.5404147593,1,E2
ENG-AP-E2-1374-C,105,172.18.10.117,D8C7C8C97018,D8C7C8170189,uw-unsecured,43.4708839840,-80.5404147593,1,E2
ENG-AP-E2-1374-C,105,172.18.10.117,D8C7C8C97018,D8C7C8170181,uw-unsecured,43.4708839840,-80.5404147593,1,E2
ENG-AP-E2-2340-A,105,172.18.10.100,D8C7C8C9703B,D8C7C81703B8,eduroam,43.4707994402,-80.5404570350,2,E2
ENG-AP-E2-2340-A,105,172.18.10.100,D8C7C8C9703B,D8C7C81703B0,eduroam,43.4707994402,-80.5404570350,2,E2
ENG-AP-E2-2340-A,105,172.18.10.100,D8C7C8C9703B,D8C7C81703B9,uw-unsecured,43.4707994402,-80.5404570350,2,E2
ENG-AP-E2-2340-A,105,172.18.10.100,D8C7C8C9703B,D8C7C81703B1,uw-unsecured,43.4707994402,-80.5404570350,2,E2
ENG-AP-E2-2344-A,105,172.18.10.106,D8C7C8C96FC8,D8C7C816FC88,eduroam,43.4707032882,-80.5407372604,2,E2
ENG-AP-E2-2344-A,105,172.18.10.106,D8C7C8C96FC8,D8C7C816FC80,eduroam,43.4707032882,-80.5407372604,2,E2
ENG-AP-E2-2344-A,105,172.18.10.106,D8C7C8C96FC8,D8C7C816FC89,uw-unsecured,43.4707032882,-80.5407372604,2,E2
ENG-AP-E2-2344-A,105,172.18.10.106,D8C7C8C96FC8,D8C7C816FC81,uw-unsecured,43.4707032882,-80.5407372604,2,E2
ENG-AP-E2-2348-A,105,172.18.10.99,D8C7C8C9703F,D8C7C81703F8,eduroam,43.4707166847,-80.5410312607,2,E2
ENG-AP-E2-2348-A,105,172.18.10.99,D8C7C8C9703F,D8C7C81703F0,eduroam,43.4707166847,-80.5410312607,2,E2
ENG-AP-E2-2348-A,105,172.18.10.99,D8C7C8C9703F,D8C7C81703F9,uw-unsecured,43.4707166847,-80.5410312607,2,E2
ENG-AP-E2-2348-A,105,172.18.10.99,D8C7C8C9703F,D8C7C81703F1,uw-unsecured,43.4707166847,-80.5410312607,2,E2
ENG-AP-E2-2351-A,105,172.18.10.102,D8C7C8C97035,D8C7C8170358,eduroam,43.4710512801,-80.5403805361,2,E2
ENG-AP-E2-2351-A,105,172.18.10.102,D8C7C8C97035,D8C7C8170350,eduroam,43.4710512801,-80.5403805361,2,E2
ENG-AP-E2-2351-A,105,172.18.10.102,D8C7C8C97035,D8C7C8170351,uw-unsecured,43.4710512801,-80.5403805361,2,E2
ENG-AP-E2-2351-A,105,172.18.10.102,D8C7C8C97035,D8C7C8170359,uw-unsecured,43.4710512801,-80.5403805361,2,E2
ENG-AP-E2-2354N-A,105,172.18.10.101,D8C7C8C96FE2,D8C7C816FE28,eduroam,43.4712243394,-80.5405229233,2,E2
ENG-AP-E2-2354N-A,105,172.18.10.101,D8C7C8C96FE2,D8C7C816FE20,eduroam,43.4712243394,-80.5405229233,2,E2
ENG-AP-E2-2354N-A,105,172.18.10.101,D8C7C8C96FE2,D8C7C816FE29,uw-unsecured,43.4712243394,-80.5405229233,2,E2
ENG-AP-E2-2354N-A,105,172.18.10.101,D8C7C8C96FE2,D8C7C816FE21,uw-unsecured,43.4712243394,-80.5405229233,2,E2
ENG-AP-E2-2356-A,105,172.18.10.68,D8C7C8C9700C,D8C7C81700C8,eduroam,43.4709441657,-80.5400592845,2,E2
ENG-AP-E2-2356-A,105,172.18.10.68,D8C7C8C9700C,D8C7C81700C0,eduroam,43.4709441657,-80.5400592845,2,E2
ENG-AP-E2-2356-A,105,172.18.10.68,D8C7C8C9700C,D8C7C81700C9,uw-unsecured,43.4709441657,-80.5400592845,2,E2
ENG-AP-E2-2356-A,105,172.18.10.68,D8C7C8C9700C,D8C7C81700C1,uw-unsecured,43.4709441657,-80.5400592845,2,E2
ENG-AP-E2-2359-A,105,172.18.10.69,D8C7C8C97003,D8C7C8170038,eduroam,43.4710439507,-80.5401263353,2,E2
